curriculum_order,tier,name,n_tokens,difficulty,combined_research,compression_ratio,lexical_diversity_mtld,flesch_reading_ease,compression_ratio_norm,lexical_diversity_norm,flesch_difficulty_norm,familiarity_norm,complexity_norm,avg_rarity,fragmentation,rare_ratio,struct_avg_sentence_length,struct_clause_density,struct_max_sentence_length,struct_n_sentences,struct_sentence_cv,struct_subordination
52,2,Oscar Wilde - De Profundis,25297,0.1074,0.5095,4.4255,64.5982,66.6611,0.6957,0.3106,0.3361,0.0419,0.1460,0.0659,1.2266,0.0085,24.2329,0.1753,218,850,0.9685,0.0447
127,3,Antoine Lavoisier - Elements of Chemistry,154683,0.1809,0.5120,4.2862,49.2428,52.1546,0.6399,0.1870,0.5813,0.1931,0.1679,0.0948,1.3934,0.0110,22.3487,0.2714,199,4967,1.0447,0.0604
64,2,Arthur Waley - The Poet Li Po,11494,0.1172,0.5121,4.3729,82.2712,71.9862,0.6746,0.4530,0.2461,0.1501,0.0703,0.0890,1.3353,0.0133,17.0079,0.1877,102,506,0.8117,0.1344
83,2,John Henry Newman - Apologia Pro Vita Sua,174008,0.1322,0.5159,4.2724,70.2529,60.5990,0.6344,0.3562,0.4386,0.0809,0.1685,0.0653,1.2912,0.0081,27.2985,0.4101,324,4935,0.9202,0.0762
12,1,Margery Williams - The Velveteen Rabbit,8722,0.0827,0.5159,4.5033,64.4239,68.7511,0.7269,0.3092,0.3008,0.0983,0.0634,0.0781,1.2824,0.0114,21.5190,0.0538,102,316,0.7504,0.1139
63,2,Aristotle - Poetics,24151,0.1169,0.5166,4.2656,57.8343,54.1816,0.6317,0.2562,0.5471,0.1498,0.0701,0.0813,1.3615,0.0085,24.4311,0.3237,131,726,0.6575,0.1033
71,2,Marcus Aurelius - Meditations,87257,0.1217,0.5175,4.4111,68.3972,65.8942,0.6899,0.3412,0.3491,0.0576,0.1621,0.0631,1.2598,0.0078,21.5036,0.4061,206,3221,0.9809,0.1382
62,2,Homer - The Odyssey,162293,0.1169,0.5178,4.1995,94.0338,68.0340,0.6052,0.5478,0.3129,0.0600,0.1540,0.0671,1.2536,0.0077,35.7904,0.4341,246,3617,0.6967,0.1393
100,3,Plato - Apology Phaedo Republic Symposium Meno Gorgias Theaetetus,147278,0.1445,0.5180,4.4879,62.6538,66.6838,0.7207,0.2950,0.3357,0.0212,0.2032,0.0583,1.2153,0.0065,22.2852,0.4432,346,5438,1.0996,0.1208
136,4,Herman Melville - Moby-Dick,304265,0.1889,0.5182,4.0618,104.3407,66.3198,0.5500,0.6308,0.3419,0.1917,0.1861,0.0852,1.4154,0.0108,23.9116,0.6784,394,8990,0.9149,0.2432
51,2,Pu Songling - Strange Stories from a Chinese Studio,280136,0.1066,0.5187,4.2132,94.9675,68.9099,0.6107,0.5553,0.2981,0.0981,0.1145,0.0692,1.3098,0.0077,25.3950,0.3852,265,8422,0.7941,0.0373
80,2,Emily Brontë - Wuthering Heights,163049,0.1294,0.5210,4.0807,117.1045,72.6245,0.5576,0.7336,0.2353,0.1378,0.1203,0.0695,1.3719,0.0083,20.6579,0.6555,130,5753,0.7954,0.1371
101,3,Shakespeare - Sonnets,27235,0.1462,0.5227,4.2097,97.3361,68.9136,0.6092,0.5744,0.2980,0.1178,0.1699,0.0754,1.3235,0.0093,30.4830,0.7259,224,675,0.7962,0.0578
99,3,Friedrich Nietzsche - Ecce Homo,65840,0.1439,0.5236,4.2615,77.9630,61.9334,0.6300,0.4183,0.4160,0.1642,0.1202,0.0770,1.3916,0.0110,24.1862,0.3355,210,1955,0.8311,0.0834
108,3,Vernon Lee - Hauntings,80320,0.1552,0.5275,4.1853,91.9081,64.0286,0.5995,0.5306,0.3806,0.1543,0.1562,0.0817,1.3647,0.0105,23.9813,0.4747,170,2454,0.8699,0.2302
166,4,Robert Hooke - Micrographia,221542,0.2969,0.5290,4.0230,60.2400,40.8991,0.5345,0.2755,0.7716,0.1730,0.3826,0.0762,1.4047,0.0130,54.0840,0.7387,491,2916,1.0067,0.2874
93,3,Jonathan Edwards - Selected Sermons,69453,0.1408,0.5291,4.5523,51.4583,61.7790,0.7465,0.2048,0.4186,0.0258,0.1975,0.0628,1.2116,0.0064,28.7622,0.5103,363,1993,0.9723,0.0552
119,3,Cao Xueqin - Dream of the Red Chamber (Vol. 1),250220,0.1704,0.5313,4.1726,94.8152,63.9190,0.5944,0.5540,0.3825,0.1157,0.2114,0.0706,1.3360,0.0068,36.0233,0.5551,271,5199,0.8447,0.1614
78,2,Wharton - The Age of Innocence,143904,0.1268,0.5320,4.1473,106.0486,67.9060,0.5843,0.6445,0.3151,0.1519,0.0953,0.0753,1.3800,0.0085,22.0074,0.3326,148,4736,0.7940,0.0648
59,2,Sei Shōnagon - The Pillow Book,40371,0.1146,0.5352,4.2582,97.7322,68.4592,0.6287,0.5775,0.3057,0.1143,0.1148,0.0719,1.3264,0.0095,22.8096,0.3891,236,1334,0.7340,0.3538
125,3,Thomas Huxley - Man's Place in Nature,28265,0.1782,0.5364,4.1754,79.0415,55.3378,0.5955,0.4270,0.5275,0.1877,0.1681,0.0833,1.4093,0.0138,27.8915,0.3588,272,719,0.8838,0.1892
98,3,Sun Tzu - The Art of War,58703,0.1436,0.5377,4.2582,92.5129,65.3662,0.6287,0.5355,0.3580,0.1440,0.1433,0.0815,1.3488,0.0104,23.0397,0.4029,157,1889,0.8785,0.1805
38,1,Martin Luther - Concerning Christian Liberty,26257,0.1014,0.5408,4.5009,64.7035,62.8924,0.7259,0.3115,0.3998,0.0376,0.1384,0.0637,1.2258,0.0079,28.2933,0.2853,151,757,0.7825,0.2325
137,4,Dante - Divine Comedy,161749,0.1904,0.5424,3.8455,150.1777,72.1661,0.4634,1.0000,0.2430,0.2115,0.1666,0.0822,1.4532,0.0120,30.4439,0.6627,227,3656,0.7945,0.0801
46,2,George Berkeley - Three Dialogues Between Hylas and Philonous,49447,0.1045,0.5457,4.5154,76.3904,67.9937,0.7317,0.4056,0.3136,0.0657,0.1323,0.0701,1.2558,0.0075,14.4697,0.1944,132,2721,1.0940,0.0316
69,2,Wharton - The House of Mirth,175495,0.1206,0.5492,4.2781,96.8589,65.6651,0.6367,0.5705,0.3529,0.1263,0.1147,0.0794,1.3273,0.0092,23.3814,0.5565,172,5653,0.7126,0.2611
145,4,Homer - The Iliad,247144,0.2166,0.5500,3.9969,134.8894,70.2729,0.5240,0.8769,0.2750,0.2414,0.1886,0.1002,1.4533,0.0138,25.3588,0.9615,219,6706,0.8325,0.2264
81,2,Henry David Thoreau - Civil Disobedience Walden,152399,0.1311,0.5505,4.2891,88.3615,61.8348,0.6410,0.5021,0.4177,0.0927,0.1605,0.0754,1.2846,0.0085,29.0480,0.3991,340,4084,0.8424,0.1469
164,4,Beowulf (Old English),60580,0.2835,0.5523,4.2915,103.2008,68.5874,0.6420,0.6216,0.3035,0.3307,0.2267,0.0931,1.6074,0.0188,26.4168,0.5642,200,1425,0.9942,0.3621
33,1,Jean Anthelme Brillat-Savarin - The Physiology of Taste,94486,0.0995,0.5565,4.3038,90.2563,62.0028,0.6469,0.5173,0.4148,0.1368,0.0326,0.0831,1.3323,0.0110,18.9154,0.1323,104,3749,0.6990,0.0400
54,2,Jean-Henri Fabre - The Life of the Spider,93525,0.1102,0.5578,4.2514,100.3786,64.0299,0.6260,0.5989,0.3806,0.1559,0.0000,0.0918,1.3425,0.0101,19.5457,0.2228,88,3564,0.5660,0.0152
,,Daniel Defoe - Robinson Crusoe,,,0.5607,4.2556,68.5682,48.3961,0.6276,0.3426,0.6448,,,,,,,,,,,
32,1,Margaret Fuller - Woman in the Nineteenth Century,144065,0.0975,0.5611,4.3217,93.9638,63.5230,0.6541,0.5472,0.3891,0.0968,0.0982,0.0718,1.3002,0.0083,25.1933,0.3072,170,4398,0.7655,0.0305
18,1,George Sand - Indiana,126276,0.0866,0.5639,4.4344,82.7323,62.8577,0.6993,0.4567,0.4004,0.0756,0.0963,0.0753,1.2595,0.0068,26.7563,0.4233,271,3747,0.7100,0.0096
94,3,Boethius - The Consolation of Philosophy,57876,0.1414,0.5657,4.4657,87.8489,66.3571,0.7118,0.4979,0.3412,0.1099,0.1670,0.0755,1.3117,0.0086,24.5128,0.3194,439,1800,0.9942,0.0533
43,1,George Eliot - Middlemarch,415760,0.1029,0.5681,4.3333,105.7366,68.0329,0.6588,0.6420,0.3129,0.0934,0.1116,0.0690,1.3031,0.0074,21.9246,0.3655,169,14550,0.8007,0.1863
88,2,W.E.B. Du Bois - The Souls of Black Folk,95370,0.1345,0.5704,4.3825,78.5920,56.8989,0.6785,0.4234,0.5011,0.1473,0.1205,0.0886,1.3351,0.0112,26.8325,0.5413,186,2662,0.6862,0.2280
5,1,Murasaki Shikibu - The Tale of Genji,124344,0.0689,0.5707,4.4017,100.6290,68.2362,0.6862,0.6009,0.3095,0.0570,0.0790,0.0682,1.2452,0.0085,24.6196,0.1990,165,4056,0.7274,0.0663
132,3,Henri Bergson - Creative Evolution,195290,0.1848,0.5739,4.3255,59.2733,44.1580,0.6556,0.2678,0.7165,0.1623,0.2048,0.0816,1.3751,0.0123,29.4191,0.2341,653,4827,1.0484,0.0717
116,3,Edwin Abbott - Flatland,48245,0.1699,0.5743,4.3729,77.5910,55.0384,0.6746,0.4153,0.5326,0.1295,0.2024,0.0821,1.3254,0.0096,27.0826,0.5104,228,1344,0.9327,0.3110
56,2,Kakuzō Okakura - The Book of Tea,27679,0.1107,0.5757,4.4617,72.7301,56.5909,0.7102,0.3761,0.5063,0.1553,0.0202,0.0952,1.3258,0.0150,20.6489,0.0801,142,1011,0.6265,0.0831
65,2,William James - Principles of Psychology Vol. 1,374219,0.1174,0.5757,4.4219,75.0572,55.8078,0.6943,0.3949,0.5196,0.1271,0.1068,0.0773,1.3321,0.0103,22.9327,0.2075,171,12248,0.8219,0.1403
11,1,Franz Kafka - Metamorphosis,30090,0.0827,0.5795,4.5676,80.8129,64.5763,0.7526,0.4413,0.3713,0.0208,0.1151,0.0614,1.2079,0.0057,27.9562,0.3120,141,891,0.7369,0.1358
114,3,Mary Somerville - On the Connexion of the Physical Sciences,288574,0.1661,0.5815,4.4693,53.3242,46.3298,0.7132,0.2198,0.6798,0.1506,0.1803,0.0949,1.3228,0.0124,27.3724,0.6211,335,7970,0.8704,0.1807
173,4,Miguel de Cervantes - Don Quixote,523289,0.3407,0.5829,4.2233,84.2408,49.0745,0.6147,0.4689,0.6334,0.0714,0.4766,0.0674,1.2724,0.0071,68.2266,1.1125,646,6028,0.9873,0.2546
107,3,Gilbert White - The Natural History of Selborne,116788,0.1550,0.5845,4.2237,102.2013,57.2702,0.6149,0.6135,0.4948,0.1537,0.1562,0.0858,1.3526,0.0112,29.4713,0.6725,153,2928,0.7611,0.1202
148,4,Friedrich Nietzsche - On the Genealogy of Morality,80825,0.2280,0.5873,4.3374,66.1224,44.8182,0.6604,0.3229,0.7053,0.1687,0.2747,0.0793,1.3917,0.0119,36.4934,0.5343,245,1591,0.9653,0.4186
134,4,Aristotle - Nicomachean Ethics,134485,0.1879,0.5875,4.4947,61.2542,49.9040,0.7234,0.2837,0.6194,0.0581,0.2592,0.0668,1.2501,0.0086,38.6336,0.9310,211,2784,0.8157,0.3035
13,1,Margaret Fuller - Summer on the Lakes,90603,0.0828,0.5879,4.4143,98.5385,63.7517,0.6912,0.5840,0.3853,0.0912,0.0735,0.0740,1.2862,0.0079,24.5172,0.2255,171,2873,0.7148,0.0348
1,1,Oliver Wendell Holmes Jr. - The Common Law,140438,0.0551,0.5895,4.5499,66.7510,54.6591,0.7455,0.3280,0.5390,0.0472,0.0620,0.0704,1.2244,0.0082,27.8872,0.0912,177,4113,0.6473,0.0467
73,2,Jane Austen - Persuasion,107947,0.1224,0.5922,4.4757,93.1460,63.0873,0.7158,0.5406,0.3965,0.0574,0.1634,0.0665,1.2525,0.0067,26.3321,0.4879,251,3273,0.8940,0.0962
16,1,Jane Austen - Pride and Prejudice,159804,0.0843,0.5954,4.4598,101.3377,65.4672,0.7094,0.6066,0.3563,0.0661,0.0991,0.0638,1.2752,0.0056,21.2578,0.3294,145,5895,0.8382,0.0119
87,2,Benjamin Franklin - The Autobiography of Benjamin Franklin,90153,0.1345,0.5964,4.3406,90.8006,54.5710,0.6617,0.5217,0.5405,0.1031,0.1598,0.0726,1.3070,0.0092,30.7380,0.4069,274,2244,0.8341,0.0704
57,2,William James - Principles of Psychology Vol. 2,370119,0.1122,0.5981,4.4712,79.7483,55.0876,0.7140,0.4327,0.5317,0.1172,0.1070,0.0785,1.3130,0.0106,23.3836,0.1973,228,12054,0.8194,0.1341
139,4,Virgil - Aeneid,163750,0.1997,0.5982,4.3614,125.9922,71.8945,0.6700,0.8052,0.2476,0.2500,0.1312,0.0940,1.4851,0.0123,26.5559,0.9424,227,4152,0.6734,0.0867
150,4,Friedrich Nietzsche - The Gay Science,119966,0.2328,0.5995,4.5942,72.8007,57.2693,0.7633,0.3767,0.4949,0.1470,0.2946,0.0731,1.3758,0.0096,28.0373,1.0241,258,3110,0.9727,0.6698
79,2,Henri Poincaré - Science and Hypothesis,254748,0.1283,0.6008,4.5625,61.8302,50.2372,0.7506,0.2883,0.6137,0.0940,0.1553,0.0776,1.2773,0.0110,25.3008,0.3610,1500,7883,0.9254,0.0709
171,4,Robert Boyle - The Sceptical Chymist,131492,0.3238,0.6052,4.0016,82.7366,32.5802,0.5259,0.4568,0.9122,0.2266,0.3980,0.0932,1.4398,0.0187,53.9120,0.8034,445,1694,0.9226,0.6523
29,1,Wassily Kandinsky - Concerning the Spiritual in Art,32655,0.0929,0.6072,4.6033,71.7081,55.3728,0.7669,0.3679,0.5269,0.1202,0.0532,0.0856,1.3005,0.0103,21.4058,0.1645,102,1173,0.6504,0.2353
159,4,Edgar Allan Poe - The Philosophy of Composition,11778,0.2519,0.6121,4.5984,63.6802,50.1403,0.7650,0.3033,0.6154,0.1586,0.3189,0.0876,1.3509,0.0144,32.7707,0.8271,228,266,0.9722,0.8120
147,4,John Locke - Two Treatises of Government,72558,0.2277,0.6131,4.5537,69.8934,50.7602,0.7470,0.3533,0.6049,0.0396,0.3196,0.0647,1.2265,0.0080,33.0856,0.5570,273,1788,1.2702,0.1107
41,1,Charles Darwin - The Voyage of the Beagle (1839),275213,0.1023,0.6135,4.3597,103.0741,57.2782,0.6693,0.6206,0.4947,0.1288,0.0657,0.0827,1.3220,0.0099,24.5864,0.3197,222,8467,0.6439,0.0954
153,4,Friedrich Nietzsche - Beyond Good and Evil,92236,0.2375,0.6164,4.3365,77.7054,43.3895,0.6600,0.4162,0.7295,0.1892,0.2775,0.0845,1.4108,0.0125,33.3887,0.4571,439,1958,1.1209,0.2002
90,3,William James - The Varieties of Religious Experience,241050,0.1350,0.6181,4.5303,85.5089,55.9146,0.7377,0.4791,0.5178,0.1278,0.1419,0.0782,1.3297,0.0112,24.6305,0.3287,296,7359,0.8533,0.2140
2,1,Mary Shelley - Frankenstein,95310,0.0616,0.6217,4.5915,88.3880,59.3135,0.7622,0.5023,0.4603,0.0568,0.0661,0.0771,1.2237,0.0076,23.9935,0.3552,157,3246,0.6591,0.0585
142,4,Edward Gibbon - The Decline and Fall of the Roman Empire (selections),2225115,0.2127,0.6259,4.6863,69.7068,53.9177,0.8002,0.3518,0.5515,0.2131,0.2122,0.1028,1.4013,0.0139,17.8244,0.3613,193,89086,1.1147,0.4599
91,3,Goethe - Theory of Colours,126839,0.1362,0.6260,4.5567,79.1602,52.2576,0.7483,0.4279,0.5796,0.1357,0.1367,0.0843,1.3280,0.0107,20.0483,0.2259,152,4764,0.9709,0.1272
152,4,Herodotus - Histories (selections),48441,0.2348,0.6267,4.4633,62.1078,39.5490,0.7108,0.2906,0.7944,0.0376,0.3299,0.0677,1.2164,0.0076,56.4865,0.9816,290,705,0.7443,0.2440
92,3,Walter Pater - The Renaissance,81706,0.1371,0.6292,4.4264,77.5559,44.5731,0.6961,0.4150,0.7095,0.1347,0.1395,0.0855,1.3227,0.0112,34.8185,0.3782,216,1774,0.7148,0.0338
117,3,John Calvin - Institutes of the Christian Religion,392914,0.1700,0.6324,4.5440,75.1874,48.2530,0.7431,0.3959,0.6473,0.0799,0.2267,0.0749,1.2658,0.0080,36.6081,0.5711,369,8479,0.7509,0.5518
162,4,Michel de Montaigne - Essays,663776,0.2675,0.6327,4.3862,96.0336,50.6244,0.6800,0.5639,0.6072,0.1022,0.3642,0.0727,1.3055,0.0092,45.0474,0.9803,1966,11285,1.1134,0.0782
169,4,William Harvey - On the Motion of the Heart and Blood,93165,0.3137,0.6359,4.4572,60.4586,36.2873,0.7084,0.2773,0.8495,0.1167,0.4281,0.0845,1.2900,0.0153,48.6016,0.6265,1265,1486,1.3337,0.1292
75,2,Niccolò Machiavelli - The Prince,60914,0.1253,0.6384,4.5210,75.4155,45.8521,0.7339,0.3978,0.6879,0.0757,0.1603,0.0756,1.2560,0.0088,38.1187,0.4686,200,1272,0.6866,0.0833
,,Paulo Freire - Pedagogy of the Oppressed,,,0.6414,4.4908,63.9737,38.2617,0.7218,0.3056,0.8162,,,,,,,,,,,
129,3,Thomas De Quincey - Confessions of an English Opium-Eater,46792,0.1836,0.6428,4.4156,90.3585,46.9228,0.6917,0.5181,0.6698,0.0913,0.2431,0.0765,1.2777,0.0097,36.7671,0.7882,264,996,0.7553,0.5301
68,2,Thomas Paine - Common Sense,31026,0.1199,0.6453,4.6526,77.6831,51.5357,0.7867,0.4160,0.5918,0.0742,0.1524,0.0781,1.2458,0.0100,29.8585,0.3849,247,834,0.8076,0.1391
123,3,Jonathan Swift - Gulliver's Travels,135249,0.1760,0.6495,4.4396,97.2756,49.7702,0.7013,0.5739,0.6216,0.0620,0.2411,0.0693,1.2533,0.0064,39.0271,0.6843,412,2765,0.8734,0.1154
10,1,Sigmund Freud - The Interpretation of Dreams,200193,0.0818,0.6714,4.7299,76.5680,48.4872,0.8176,0.4071,0.6433,0.0898,0.0730,0.0828,1.2565,0.0115,25.4289,0.1703,640,6265,0.7075,0.0455
102,3,John Milton - Areopagitica,26578,0.1497,0.6732,4.5232,93.8011,46.4826,0.7348,0.5459,0.6772,0.1019,0.1855,0.0844,1.2711,0.0122,39.3008,0.5019,162,532,0.7400,0.0865
72,2,Karl Marx & Friedrich Engels - The Communist Manifesto,18903,0.1222,0.6766,4.8176,53.7580,40.5527,0.8528,0.2233,0.7774,0.1581,0.0697,0.0983,1.3193,0.0172,24.0386,0.1678,102,596,0.7004,0.1091
31,1,Jean-Jacques Rousseau - The Social Contract,132530,0.0970,0.6875,4.7551,74.9816,45.1279,0.8277,0.3943,0.7001,0.0406,0.1311,0.0728,1.2065,0.0089,34.3588,0.4911,239,3197,0.6700,0.0244
61,2,Thucydides - History of the Peloponnesian War,258879,0.1164,0.6879,4.6175,76.2440,39.1141,0.7726,0.4045,0.8017,0.0830,0.1421,0.0819,1.2479,0.0116,39.8265,0.4801,217,5209,0.5938,0.0837
163,4,John Milton - Paradise Lost,113575,0.2811,0.6909,4.1846,141.0722,48.7761,0.5992,0.9267,0.6384,0.1851,0.3518,0.0957,1.3738,0.0142,42.8564,1.6781,308,1929,0.9124,0.1493
58,2,Carl von Clausewitz - On War,349238,0.1129,0.7004,4.7865,71.7118,41.9931,0.8403,0.3679,0.7531,0.0272,0.1573,0.0687,1.1989,0.0064,36.3992,0.3767,272,8003,0.6999,0.1731
14,1,Henri Bergson - Time and Free Will,78681,0.0831,0.7006,4.8213,70.7772,43.1474,0.8542,0.3604,0.7336,0.0561,0.1033,0.0757,1.2201,0.0117,34.0063,0.4008,221,1896,0.5923,0.0675
77,2,Charles Darwin - On the Origin of Species (1859),199050,0.1262,0.7008,4.7364,77.7550,42.4027,0.8202,0.4166,0.7462,0.0974,0.1495,0.0845,1.2671,0.0100,29.9455,0.4640,214,5246,0.7774,0.1365
109,3,Lucretius - On the Nature of Things,103305,0.1556,0.7070,4.6913,108.8618,53.6255,0.8022,0.6672,0.5565,0.1445,0.1661,0.0831,1.3464,0.0098,40.1061,0.4767,250,1913,0.6623,0.1035
50,2,Alexis de Tocqueville - Democracy in America (selections),231228,0.1064,0.7118,4.8691,63.2198,39.1674,0.8734,0.2995,0.8008,0.0685,0.1339,0.0860,1.2160,0.0104,32.7980,0.5770,276,5797,0.6439,0.1484
49,2,David Hume - An Enquiry Concerning Human Understanding,74879,0.1059,0.7257,4.8687,80.9015,44.2830,0.8732,0.4420,0.7144,0.0566,0.1386,0.0723,1.2368,0.0067,27.7452,0.4569,270,2182,0.7963,0.0926
103,3,Immanuel Kant - The Fundamental Principles of the Metaphysic of Morals,39639,0.1523,0.7264,4.9181,65.6472,39.1807,0.8930,0.3191,0.8006,0.0122,0.2150,0.0664,1.1765,0.0092,42.0100,0.3766,220,802,0.7227,0.3828
17,1,David Hume - Dialogues Concerning Natural Religion,48614,0.0846,0.7265,4.7692,89.3706,43.4116,0.8334,0.5102,0.7291,0.0742,0.0938,0.0775,1.2511,0.0073,28.5640,0.4882,156,1360,0.6338,0.0691
7,1,Adam Smith - The Wealth of Nations (selections),467165,0.0796,0.7394,5.1852,55.4204,43.9003,1.0000,0.2367,0.7208,0.0511,0.1002,0.0750,1.2181,0.0088,31.8635,0.2532,874,12036,0.6718,0.0223
45,2,John Stuart Mill - On Liberty,61943,0.1036,0.7405,4.8356,76.3091,37.0189,0.8599,0.4050,0.8372,0.0556,0.1356,0.0757,1.2224,0.0096,36.7721,0.4419,184,1378,0.6266,0.1089
42,1,Mary Wollstonecraft - A Vindication of the Rights of Woman,109478,0.1028,0.7459,4.6988,106.3257,43.5545,0.8052,0.6468,0.7267,0.0812,0.1207,0.0808,1.2515,0.0092,34.3186,0.4971,209,2549,0.6244,0.0553
76,2,Immanuel Kant - Critique of Pure Reason (selections),256321,0.1255,0.7652,5.0033,58.0610,30.4354,0.9271,0.2580,0.9484,0.0453,0.1715,0.0723,1.2160,0.0085,35.4393,0.5113,232,5948,0.6175,0.5109
156,4,René Descartes - Meditations on First Philosophy,30048,0.2430,0.7848,4.8855,73.1269,27.3857,0.8800,0.3793,1.0000,0.0000,0.3436,0.0655,1.1590,0.0093,63.3863,0.6430,288,409,0.7663,0.2054
